"Date","Andalusia","Balearic Islands","Canary Islands","Catalonia","Valencia","Madrid","Rest of regions","Spain"
"1","2001-01-01",0.056,0.024,0.057,0.349,0.173,0.161,0.103,0.034
"2","2001-02-01",-0.014,0.114,0.042,0.093,0.117,0.18,0.062,-0.004
"3","2001-03-01",-0.033,0.019,0.057,0.027,0.111,0.019,0.002,-0.011
"4","2001-04-01",-0.079,-0.076,-0.026,0.176,0.046,-0.033,0.03,0.001
"5","2001-05-01",0.063,0.021,0.022,0.174,0.13,0.099,0.032,-0.027
"6","2001-06-01",0.082,0.025,0.05,0.079,0.064,0.26,0.105,-0.037
"7","2001-07-01",0.153,-0.02,0.014,0.012,-0.025,0.377,0.148,-0.072
"8","2001-08-01",0.344,0.036,0.032,0.209,-0.056,0.189,0.137,-0.061
"9","2001-09-01",0.073,0.003,0.006,-0.002,-0.008,0.07,0.092,-0.112
"10","2001-10-01",0.065,-0.103,-0.004,-0.041,0.065,-0.203,0.048,-0.06
"11","2001-11-01",0.025,-0.075,-0.029,0.029,-0.02,-0.152,0.153,-0.054
"12","2001-12-01",0.127,0.015,0.012,0.109,0.057,-0.142,0.147,-0.02
"13","2002-01-01",0.128,-0.125,-0.061,0.108,-0.058,-0.083,0.017,0.012
"14","2002-02-01",0.173,-0.12,0.012,0.288,0.05,0.016,0.213,0.084
"15","2002-03-01",0.224,0.125,0.032,0.548,0.202,-0.043,0.351,0.16
"16","2002-04-01",-0.121,-0.282,-0.124,-0.115,-0.151,-0.135,0.073,-0.008
"17","2002-05-01",0.072,-0.057,-0.039,0.209,0.015,-0.165,0.101,0.094
"18","2002-06-01",0.006,-0.055,-0.048,0.128,-0.002,0,0.187,0.049
"19","2002-07-01",-0.076,-0.098,-0.035,0.143,0.013,-0.088,0.18,0.039
"20","2002-08-01",-0.062,0.02,0.022,0.344,0.363,0.024,0.259,0.089
"21","2002-09-01",0.005,-0.115,-0.018,0.009,0.025,0.058,0.192,0.06
"22","2002-10-01",0.076,-0.06,-0.005,0.16,0.135,0.228,0.334,0.103
"23","2002-11-01",0.018,0.028,0.041,0.25,0.184,0.098,0.008,0.164
"24","2002-12-01",0.017,-0.005,0.015,-0.035,0.081,-0.081,0.355,0.068
"25","2003-01-01",0.123,0.034,0.076,0.089,0.222,-0.135,0.324,0.102
"26","2003-02-01",0.031,-0.028,-0.002,0.148,0.034,-0.058,0.078,-0.045
"27","2003-03-01",-0.071,-0.235,-0.041,-0.086,-0.131,-0.214,-0.078,0.057
"28","2003-04-01",0.086,0.238,0.151,0.195,0.205,-0.008,0.087,0.08
"29","2003-05-01",0.129,0.015,0.019,0.003,0.146,0.012,0.169,0.172
"30","2003-06-01",0.055,-0.015,-0.025,0.043,-0.066,-0.035,0.065,0.167
"31","2003-07-01",0.043,0.008,-0.021,0.054,0.035,0.152,-0.063,0.056
"32","2003-08-01",0.039,0.032,-0.036,-0.165,-0.079,-0.001,-0.122,0.059
"33","2003-09-01",0,-0.059,-0.059,0.014,0.07,-0.025,0.045,0.084
"34","2003-10-01",-0.001,0.043,-0.018,-0.01,0.051,0.053,-0.06,0.117
"35","2003-11-01",-0.054,0.038,-0.061,0.034,0.037,0.1,0.047,0.09
"36","2003-12-01",-0.056,0.158,-0.041,0.249,-0.039,0.323,-0.067,0.118
"37","2004-01-01",-0.009,0.098,-0.012,0.207,0.041,0.385,0.069,0.133
"38","2004-02-01",0.063,0.067,0.02,0.282,0.086,0.144,0.094,0.263
"39","2004-03-01",-0.076,-0.034,-0.081,0.106,-0.017,0.226,0.013,0.017
"40","2004-04-01",0.011,-0.071,-0.09,0.031,-0.006,0.15,0.069,0.123
"41","2004-05-01",-0.04,0,-0.097,0.192,0.011,0.25,0.08,0.016
"42","2004-06-01",-0.041,-0.045,-0.11,-0.041,0.038,0.052,-0.039,0.024
"43","2004-07-01",0.023,0.086,-0.063,0.035,-0.093,-0.018,-0.039,0.096
"44","2004-08-01",-0.014,-0.027,-0.06,0.041,-0.055,0.053,-0.018,0.001
"45","2004-09-01",0.07,0.079,-0.016,0.113,0.027,0.039,0.055,0.012
"46","2004-10-01",0.022,0.105,0.016,0.2,0.066,-0.051,0.166,0.136
"47","2004-11-01",0.056,0.157,-0.009,0.207,0.08,0.076,0.118,0.05
"48","2004-12-01",0.059,0.074,0.024,0.203,0.207,0.165,0.241,0.054
"49","2005-01-01",0.09,0.231,0.008,0.129,0.125,-0.002,-0.014,0.042
"50","2005-02-01",-0.018,0.061,-0.048,0.07,0.006,-0.053,0.045,0.029
"51","2005-03-01",0.14,0.219,0,0.288,0.302,0.1,0.342,0.189
"52","2005-04-01",-0.061,-0.072,-0.068,0.074,0.009,0.009,0.063,0.002
"53","2005-05-01",0.039,-0.023,-0.042,0.093,0.193,0.049,0.207,0.114
"54","2005-06-01",0.076,0.02,0.004,0.146,0.165,0.038,0.202,0.165
"55","2005-07-01",0.086,0.023,0.002,0.114,0.14,0.095,0.171,0.155
"56","2005-08-01",0.046,-0.001,-0.032,0.13,0.03,0.025,0.274,0.06
"57","2005-09-01",0.037,0.035,-0.018,0.135,0.163,0.169,0.31,0.174
"58","2005-10-01",-0.009,-0.035,0.01,0.119,0.065,0.097,0.148,0.063
"59","2005-11-01",0.112,-0.039,0.01,0.12,0.049,0.14,0.313,0.037
"60","2005-12-01",0.101,-0.03,-0.022,0.077,0.005,-0.041,0.153,0.08
"61","2006-01-01",-0.071,-0.146,-0.058,0.128,-0.005,0.149,0.107,0.1
"62","2006-02-01",-0.054,-0.189,-0.025,0.159,0.047,0.103,0.096,0.133
"63","2006-03-01",-0.064,-0.179,0.037,0.037,-0.068,0.25,-0.018,0.032
"64","2006-04-01",0.108,0.182,0.152,0.206,0.163,0.336,0.176,0.143
"65","2006-05-01",-0.009,0.042,0.04,0.119,-0.012,0.234,0.149,0.088
"66","2006-06-01",-0.042,0.096,0.085,0.069,0.021,0.108,-0.03,-0.061
"67","2006-07-01",-0.045,0.029,0.046,-0.03,0.033,0.201,-0.001,-0.047
"68","2006-08-01",-0.186,0.019,0.029,0.087,0.089,0.173,-0.006,0.023
"69","2006-09-01",-0.052,0.041,0.015,0.113,-0.009,0.187,-0.01,0.013
"70","2006-10-01",0.006,-0.009,-0.035,0.067,0.032,0.174,0.085,0.024
"71","2006-11-01",-0.012,-0.027,-0.028,0.038,0.072,0.124,-0.013,0.066
"72","2006-12-01",-0.014,0.073,0.005,0.05,0.029,0.05,-0.053,0.073
"73","2007-01-01",0.064,0.012,-0.024,0.068,0.044,0.093,0.041,0.051
"74","2007-02-01",0.062,0.089,-0.002,-0.007,0.108,0.264,-0.015,-0.031
"75","2007-03-01",0.131,0.177,0.019,0.047,0.086,0.095,-0.042,0.064
"76","2007-04-01",0.01,-0.07,-0.114,-0.061,-0.042,0.085,-0.011,0.036
"77","2007-05-01",0.052,-0.033,-0.07,-0.014,-0.014,0.054,-0.157,-0.054
"78","2007-06-01",0.049,0.027,-0.039,0.055,0.043,0.16,0.042,0.136
